week,day,time_eat,post_id,language,theme,goal,route_type,route_url,visual_asset,post_source
1,Tuesday,13:00,1,EN,Thought leadership,Establish credibility,Homepage,https://hajafabrice.github.io/founderAiCheap/?campaign=linkedin-en-post-1&surface=first-comment&lang=en,docs/assets/oplurix-website-preview.png,docs/campaigns/linkedin-post-bank.md
1,Wednesday,16:00,2,EN,Educational,Teach honest interpretation,Homepage,https://hajafabrice.github.io/founderAiCheap/?campaign=linkedin-en-post-2&surface=first-comment&lang=en,docs/assets/atbc-2026-share-preview.png,docs/campaigns/linkedin-post-bank.md
1,Thursday,13:00,1,FR,Thought leadership,Establish credibility,Homepage,https://hajafabrice.github.io/founderAiCheap/?campaign=linkedin-fr-post-1&surface=first-comment&lang=fr,docs/assets/oplurix-website-preview.png,docs/campaigns/linkedin-post-bank.md
1,Friday,16:00,2,FR,Educational,Teach honest interpretation,Homepage,https://hajafabrice.github.io/founderAiCheap/?campaign=linkedin-fr-post-2&surface=first-comment&lang=fr,docs/assets/atbc-2026-share-preview.png,docs/campaigns/linkedin-post-bank.md
2,Tuesday,13:00,3,EN,Founder story,Humanize slow science,Homepage,https://hajafabrice.github.io/founderAiCheap/?campaign=linkedin-en-post-3&surface=first-comment&lang=en,docs/assets/oplurix-linkedin-article-field-notebooks.png,docs/campaigns/linkedin-post-bank.md
2,Wednesday,16:00,5,EN,Technical proof,Show scientific depth,Homepage,https://hajafabrice.github.io/founderAiCheap/?campaign=linkedin-en-post-5&surface=first-comment&lang=en,docs/assets/atbc-2026-share-preview.png,docs/campaigns/linkedin-post-bank.md
2,Thursday,13:00,3,FR,Founder story,Humanize slow science,Homepage,https://hajafabrice.github.io/founderAiCheap/?campaign=linkedin-fr-post-3&surface=first-comment&lang=fr,docs/assets/oplurix-linkedin-article-field-notebooks.png,docs/campaigns/linkedin-post-bank.md
2,Friday,16:00,5,FR,Technical proof,Show scientific depth,Homepage,https://hajafabrice.github.io/founderAiCheap/?campaign=linkedin-fr-post-5&surface=first-comment&lang=fr,docs/assets/atbc-2026-share-preview.png,docs/campaigns/linkedin-post-bank.md
3,Tuesday,13:00,4,EN,Ethics education,Capture checklist leads,Checklist,https://hajafabrice.github.io/founderAiCheap/ethics-checklist.html?campaign=linkedin-en-post-4&surface=first-comment&lang=en&interest=checklist,docs/assets/oplurix-website-preview.png,docs/campaigns/linkedin-post-bank.md
3,Wednesday,16:00,6,EN,Process demo,Show transformation workflow,Product page,https://hajafabrice.github.io/founderAiCheap/products/01-expert-to-influencer-content-engine.html?campaign=linkedin-en-post-6&surface=first-comment&lang=en&interest=product,docs/assets/oplurix-linkedin-article-field-notebooks.png,docs/campaigns/linkedin-post-bank.md
3,Thursday,13:00,4,FR,Ethics education,Capture checklist leads,Checklist,https://hajafabrice.github.io/founderAiCheap/ethics-checklist-fr.html?campaign=linkedin-fr-post-4&surface=first-comment&lang=fr&interest=checklist,docs/assets/oplurix-website-preview.png,docs/campaigns/linkedin-post-bank.md
3,Friday,16:00,6,FR,Process demo,Show transformation workflow,Product page,https://hajafabrice.github.io/founderAiCheap/products/01-expert-to-influencer-content-engine-fr.html?campaign=linkedin-fr-post-6&surface=first-comment&lang=fr&interest=product,docs/assets/oplurix-linkedin-article-field-notebooks.png,docs/campaigns/linkedin-post-bank.md
4,Tuesday,13:00,7,EN,Educational framework,Show repeatable system,Product page,https://hajafabrice.github.io/founderAiCheap/products/01-expert-to-influencer-content-engine.html?campaign=linkedin-en-post-7&surface=first-comment&lang=en&interest=product,docs/assets/oplurix-linkedin-article-field-notebooks.png,docs/campaigns/linkedin-post-bank-week4-5.md
4,Wednesday,16:00,9,EN,Founder story soft pitch,Warm buyers without rushing,Product page,https://hajafabrice.github.io/founderAiCheap/products/01-expert-to-influencer-content-engine.html?campaign=linkedin-en-post-9&surface=first-comment&lang=en&interest=product,docs/assets/oplurix-linkedin-article-field-notebooks.png,docs/campaigns/linkedin-post-bank-week4-5.md
4,Thursday,13:00,7,FR,Educational framework,Show repeatable system,Product page,https://hajafabrice.github.io/founderAiCheap/products/01-expert-to-influencer-content-engine-fr.html?campaign=linkedin-fr-post-7&surface=first-comment&lang=fr&interest=product,docs/assets/oplurix-linkedin-article-field-notebooks.png,docs/campaigns/linkedin-post-bank-week4-5.md
4,Friday,16:00,9,FR,Founder story soft pitch,Warm buyers without rushing,Product page,https://hajafabrice.github.io/founderAiCheap/products/01-expert-to-influencer-content-engine-fr.html?campaign=linkedin-fr-post-9&surface=first-comment&lang=fr&interest=product,docs/assets/oplurix-linkedin-article-field-notebooks.png,docs/campaigns/linkedin-post-bank-week4-5.md
5,Tuesday,13:00,8,EN,Thought leadership,Own the slow science category,Homepage,https://hajafabrice.github.io/founderAiCheap/?campaign=linkedin-en-post-8&surface=first-comment&lang=en,docs/assets/atbc-2026-share-preview.png,docs/campaigns/linkedin-post-bank-week4-5.md
5,Wednesday,16:00,10,EN,Conversion,Close warm traffic,Direct checkout,https://payhip.com/buy?s=1&cart_links%5B%5D=6I1p4&qty%5B6I1p4%5D=1&utm_source=linkedin&utm_medium=first-comment&utm_campaign=linkedin-en-post-10&utm_content=direct-checkout-en&utm_term=product,docs/assets/oplurix-linkedin-article-field-notebooks.png,docs/campaigns/linkedin-post-bank-week4-5.md
5,Thursday,13:00,8,FR,Thought leadership,Own the slow science category,Homepage,https://hajafabrice.github.io/founderAiCheap/?campaign=linkedin-fr-post-8&surface=first-comment&lang=fr,docs/assets/atbc-2026-share-preview.png,docs/campaigns/linkedin-post-bank-week4-5.md
5,Friday,16:00,10,FR,Conversion,Close warm traffic,Direct checkout,https://payhip.com/buy?s=1&cart_links%5B%5D=6I1p4&qty%5B6I1p4%5D=1&utm_source=linkedin&utm_medium=first-comment&utm_campaign=linkedin-fr-post-10&utm_content=direct-checkout-fr&utm_term=product,docs/assets/oplurix-linkedin-article-field-notebooks.png,docs/campaigns/linkedin-post-bank-week4-5.md
